Unit,Severity,Baseline,RL
Ambulance,Critical,152.38235294117646,38.55882352941177
Ambulance,Moderate,101.18146718146718,23.83783783783784
Ambulance,Low,49.216,16.832
Fire Truck,Critical,193.8235294117647,39.705882352941174
Fire Truck,Moderate,115.31862745098039,26.74019607843137
Fire Truck,Low,59.734848484848484,23.295454545454547
Mixed,Critical,143.25,54.0
Mixed,Moderate,98.44,25.24
Mixed,Low,53.833333333333336,20.5
Police,Critical,133.33333333333334,34.166666666666664
Police,Moderate,78.62573099415202,20.84795321637426
Police,Low,45.20491803278689,15.997267759562842
